word
anger
joy
surprise
disgust
sadness
fear
amusement
despair
relief
anxiety
pleasure
irritation
interest
pride
resentment
fury
frustration
outrage
discontent
unhappiness
disgust
indignation
dissatisfaction
discontentment
hostility
bitterness
rage
revulsion
disquiet
anguish
angst
disenchantment
exhilaration
elation
delight
excitement
thrill
happiness
jubilation
pleasure
sadness
contentment
sorrow
thankfulness
shock
disappointment
stunned
startled
dismay
exasperation
disdain
bewilderment
displeasure
astonishment
disbelief
amazement
distaste
incredulity
bafflement
grief
despair
regret
heartache
emptiness
melancholy
worry
dread
apprehension
concern
distrust
scared
panic
mirth
merriment
annoyance
enjoyment
wonderment
entertainment
hilarity
hopelessness
despondency
desolation
helplessness
heartbreak
disillusionment
powerlessness
loneliness
desperation
succor
nervousness
uneasiness
anxiousness
stress
jitters
tension
discomfort
paranoia
restlessness
pain
uncertainty
gratification
satisfaction
impatience
consternation
disgruntlement
puzzlement
itchiness
desire
enthusiasm
curiousity
admiration
preference
fascination
affection
passion
gratitude
spirit
reverence
